category,english,french,french_translit,japanese,japanese_romaji,korean,korean_RR,spanish_translit,spanish,german_translit,german
places,reef,récif,recif,リーフ,Riifu,암초,amcho,arrecife,arrecife,Riff,Riff
places,city,ville,ville,市,Shi,도시,dosi,ciudad,ciudad,Stadt,Stadt
places,town,ville,ville,町,Machi,도시,dosi,ciudad,ciudad,Stadt,Stadt
places,village,village,village,村,Mura,마을,maeul,aldea,aldea,Dorf,Dorf
places,metropolis,métropole,metropole,大都市,Daitoshi,중심지,jungsimji,metropoli,metrópoli,Metropole,Metropole
places,capital,capital,capital,首都,Shuto,수도,sudo,capital,capital,Hauptstadt,Hauptstadt
places,port,port,port,ポート,Pooto,포트,poteu,puerto,puerto,Hafen,Hafen
places,harbor,port,port,港,Minato,항구,hanggu,puerto,puerto,Hafen,Hafen
places,station,gare,gare,駅,Eki,역,yeok,estacion,estación,Bahnhof,Bahnhof
places,airport,aéroport,aeroport,空港,Kuukou,공항,gonghang,aeropuerto,aeropuerto,Flughafen,Flughafen
places,bridge,pont,pont,橋,Hashi,다리,dari,puente,puente,Brucke,Brücke
places,tunnel,tunnel,tunnel,トンネル,Tonneru,터널,teoneol,tunel,túnel,Tunnel,Tunnel
places,road,route,route,道,Michi,도로,doro,camino,camino,Straße,Straße
places,highway,Autoroute,Autoroute,高速道路,Kousokudouro,고속도로,gosokdoro,carretera,carretera,Autobahn,Autobahn
places,park,parc,parc,公園,Kouen,공원,gongwon,parque,parque,Park,Park
places,plaza,place,place,プラザ,Puraza,큰 광장,keun_gwangjang,plaza,plaza,Plaza,Plaza
places,palace,palais,palais,宮殿,Kyuuden,궁전,gungjeon,palacio,palacio,Palast,Palast
places,castle,château,chateau,城,Shiro,성,seong,castillo,castillo,Schloss,Schloss
places,temple,temple,temple,寺,Tera,절,jeol,templo,templo,Tempel,Tempel
places,library,bibliothèque,bibliotheque,図書館,Toshokan,도서관,doseogwan,biblioteca,biblioteca,Bibliothek,Bibliothek
places,museum,musée,musee,博物館,Hakubutsukan,박물관,bagmulgwan,museo,museo,Museum,Museum
places,theater,théâtre,theatre,劇場,Gekijou,극장,geugjang,teatro,teatro,Theater,Theater
places,stadium,stade,stade,スタジアム,Sutajiamu,경기장,gyeonggijang,estadio,estadio,Stadion,Stadion
places,arena,arène,arene,アリーナ,Ariina,투기장,tugijang,arena,arena,Arena,Arena
places,skyscraper,gratte-ciel,gratte-ciel,超高層ビル,Choukousou_biru,마천루,macheonnu,rascacielos,rascacielos,Wolkenkratzer,Wolkenkratzer
places,monument,monument,monument,記念碑,Kinenhi,기념물,ginyeommul,Monumento,Monumento,Monument,Monument
places,factory,usine,usine,工場,Koujou,공장,gongjang,fabrica,fábrica,Fabrik,Fabrik
places,farm,ferme,ferme,農場,Noujou,농장,nongjang,granja,granja,Bauernhof,Bauernhof
places,vineyard,vignoble,vignoble,ブドウ園,Budouen,포도원,podowon,vinedo,viñedo,Weinberg,Weinberg
places,market,marché,marche,市場,Ichiba,시장,sijang,mercado,mercado,Markt,Markt
places,mall,centre commercial,centre_commercial,モール,Mooru,쇼핑 센터,syoping_senteo,centro_comercial,centro comercial,Einkaufszentrum,Einkaufszentrum
places,hotel,hôtel,hotel,ホテル,Hoteru,호텔,hotel,hotel,hotel,Hotel,Hotel
places,restaurant,restaurant,restaurant,レストラン,Resutoran,식당,sikdang,restaurante,restaurante,Restaurant,Restaurant
places,cafe,café,cafe,カフェ,Kafe,카페,cafe,cafeteria,cafetería,Cafe,Cafe
places,hospital,hôpital,hopital,病院,Byouin,병원,byeongwon,hospital,hospital,Krankenhaus,Krankenhaus
places,school,école,ecole,学校,Gakkou,학교,haggyo,escuela,escuela,Schule,Schule
places,university,université,universite,大学,Daigaku,대학교,daehakgyo,universidad,universidad,Universitat,Universität
places,college,collège,college,カレッジ,Karejji,대학,daehak,colega,colega,Hochschule,Hochschule
places,zoo,zoo,zoo,動物園,Doubutsuen,동물원,dongmulwon,zoo,zoo,Zoo,Zoo
places,aquarium,aquarium,aquarium,水族館,Suizokukan,수족관,sujoggwan,acuario,acuario,Aquarium,Aquarium
places,garden,jardin,jardin,庭,Niwa,정원,jeongwon,jardin,jardín,Garten,Garten
places,greenhouse,serre,serre,温室,Onshitsu,온실,onsil,invernadero,invernadero,Gewachshaus,Gewächshaus
places,observatory,observatoire,observatoire,天文台,Tenmondai,전망대,jeonmangdae,observatorio,observatorio,Observatorium,Observatorium
places,lighthouse,phare,phare,灯台,Toudai,등대,deungdae,faro,faro,Leuchtturm,Leuchtturm
places,barracks,caserne,caserne,兵舎,Heisha,막사,magsa,cuartel,cuartel,Kaserne,Kaserne
places,fortress,forteresse,forteresse,要塞,Yousai,요새,yosae,fortaleza,fortaleza,Festung,Festung
places,bunker,bunker,bunker,陣地壕,Jinchigou,벙커,beongkeo,bunker,búnker,Bunker,Bunker
places,embassy,ambassade,ambassade,大使館,Taishikan,대사관,daesagwan,embajada,embajada,Botschaft,Botschaft
places,courthouse,tribunal,tribunal,裁判所,Saibansho,법원,beopwon,palacio_de_justicia,palacio de justicia,Gerichtsgebaude,Gerichtsgebäude
places,townhall,mairie,mairie,町役場,Machiyakuba,시청,sicheong,Ayuntamiento,Ayuntamiento,Rathaus,Rathaus
places,oasis,oasis,oasis,オアシス,Oashisu,오아시스,oasisi,oasis,oasis,Oase,Oase
places,archipelago,archipel,archipel,諸島,Shotou,열도,yeoldo,archipielago,archipiélago,Archipel,Archipel
places,peninsula,péninsule,peninsule,半島,Hantou,반도,bando,peninsula,península,Halbinsel,Halbinsel
places,bay,baie,baie,湾,Wan,만,man,bahia,bahía,Bucht,Bucht
places,gulf,golfe,golfe,湾,Wan,만,man,Golfo,Golfo,Golf,Golf
places,sea,mer,mer,海,Umi,바다,bada,mar,mar,Meer,Meer
places,strait,détroit,detroit,海峡,Kaikyou,좁은,jobeun,estrecho,estrecho,Straße,Straße
places,channel,canal,canal,チャネル,Chaneru,채널,chaeneol,canal,canal,Kanal,Kanal
places,delta,delta,delta,デルタ,Deruta,델타,delta,delta,delta,Delta,Delta
places,tundra,toundra,toundra,ツンドラ,Tsundora,동토대,dongtodae,tundra,tundra,Tundra,Tundra
places,savannah,savane,savane,サバンナ,Sabanna,사바나,sabana,sabana,sabana,Savanne,Savanne
places,jungle,jungle,jungle,密林,Mitsurin,밀림,millim,selva,selva,Dschungel,Dschungel
places,rainforest,forêt tropicale,foret_tropicale,雨林,Amurin,열대 우림,yeoldae_urim,selva,selva,Regenwald,Regenwald
places,freedom,liberté,liberte,自由,Jiyuu,자유,jayu,libertad,libertad,Freiheit,Freiheit
places,justice,justice,justice,正義,Seigi,정당성,jeongdangseong,justicia,justicia,Gerechtigkeit,Gerechtigkeit
places,equality,égalité,egalite,平等,Byoudou,평등,pyeongdeung,igualdad,igualdad,Gleichwertigkeit,Gleichwertigkeit
places,peace,paix,paix,平和,Heiwa,평화,pyeonghwa,paz,paz,Frieden,Frieden
concepts,honor,honneur,honneur,名誉,Meiyo,명예,myeongye,honor,honor,Ehre,Ehre
concepts,truth,vérité,verite,真実,Shinjitsu,진실,jinsil,verdad,verdad,Wahrheit,Wahrheit
concepts,beauty,beauté,beaute,美しさ,Utsukushisa,아름다움,areumdawum,belleza,belleza,Schonheit,Schönheit
concepts,wisdom,sagesse,sagesse,知恵,Chie,지혜,jihae,sabiduria,sabiduría,Weisheit,Weisheit
concepts,knowledge,connaissance,connaissance,知識,Chishiki,지식,jisik,conocimiento,conocimiento,Wissen,Wissen
concepts,power,pouvoir,pouvoir,力,Chikara,힘,him,fuerza,fuerza,Leistung,Leistung
concepts,love,amour,amour,愛,Ai,사랑,sarang,amar,amar,Liebe,Liebe
concepts,hope,espoir,espoir,希望,Kibou,희망,huimang,esperanza,esperanza,Hoffnung,Hoffnung
concepts,faith,foi,foi,信仰,Shinkou,믿음,mideum,fe,fe,Glaube,Glaube
concepts,charity,charité,charite,慈善,Jizen,자선 단체,jaseon_danche,caridad,caridad,Wohltatigkeit,Wohltätigkeit
concepts,courage,courage,courage,勇気,Yuuki,용기,yonggi,coraje,coraje,Mut,Mut
concepts,loyalty,loyauté,loyaute,忠誠心,Chuuseishin,충의,chungui,lealtad,lealtad,Loyalitat,Loyalität
concepts,patience,patience,patience,忍耐,Nintai,인내심,innaesim,paciencia,paciencia,Geduld,Geduld
concepts,joy,joie,joie,喜び,Yorokobi,기쁨,gippeum,alegria,alegría,Freude,Freude
concepts,happiness,bonheur,bonheur,幸せ,Shiawase,행복,haengbog,felicidad,felicidad,Gluck,Glück
concepts,surprise,surprendre,surprendre,驚き,Odoroki,놀라다,nollada,sorpresa,sorpresa,Uberraschung,Überraschung
concepts,trust,confiance,confiance,信頼,Shinrai,신뢰하다,sinroehada,confianza,confianza,Vertrauen,Vertrauen
concepts,empathy,empathie,empathie,共感,Kyoukan,공감,gonggam,empatia,empatía,Empathie,Empathie
concepts,gratitude,gratitude,gratitude,感謝,Kansha,고마움,gomawum,gratitud,gratitud,Dankbarkeit,Dankbarkeit
concepts,humility,humilité,humilite,謙虚,Kenkyo,겸손,gyeomson,humildad,humildad,Demut,Demut
concepts,sympathy,sympathie,sympathie,同情,Doujou,동정,dongjeong,compasion,compasión,Sympathie,Sympathie
concepts,optimism,optimisme,optimisme,楽観,Rakkan,낙천주의,nakcheonjuui,optimismo,optimismo,Optimismus,Optimismus
concepts,ambition,ambition,ambition,野心,Yashin,큰 뜻,keun_tteus,ambicion,ambición,Ehrgeiz,Ehrgeiz
concepts,contentment,contentement,contentement,満足,Manzoku,만족,manjok,contentamiento,contentamiento,Zufriedenheit,Zufriedenheit
concepts,curiosity,curiosité,curiosite,好奇心,Koukishin,호기심,hogisim,curiosidad,curiosidad,Neugier,Neugier
concepts,inspiration,inspiration,inspiration,インスピレーション,Insupireeshon,영감,yeonggam,inspiracion,inspiración,Inspiration,Inspiration
concepts,passion,passion,passion,情熱,Jounetsu,열정,yeoljeong,pasion,pasión,Hingabe,Hingabe
concepts,serenity,sérénité,serenite,静けさ,Shizukesa,평온,pyeongon,serenidad,serenidad,Gelassenheit,Gelassenheit
concepts,nostalgia,nostalgie,nostalgie,ノスタルジア,Nosutarujia,노스탤지어,noseuteljia,nostalgia,nostalgia,Nostalgie,Nostalgie
concepts,wonder,merveille,merveille,不思議,Fushigi,궁금하다,gunggeumhada,preguntarse,preguntarse,Wunder,Wunder
concepts,admiration,admiration,admiration,感嘆,Kantan,감탄,gamtan,admiracion,admiración,Bewunderung,Bewunderung
concepts,satisfaction,satisfaction,satisfaction,満足,Manzoku,만족,manjok,satisfaccion,satisfacción,Zufriedenheit,Zufriedenheit
concepts,fulfillment,accomplissement,accomplissement,充足,Jousoku,이행,ihaeng,cumplimiento,cumplimiento,Erfullung,Erfüllung
concepts,friendship,amitié,amitie,友情,Yuujou,우정,ujeong,amistad,amistad,Freundschaft,Freundschaft
concepts,victory,la victoire,la_victoire,勝利,Shouri,승리,seungri,victoria,victoria,Sieg,Sieg
concepts,survival,survie,survie,生存,Seizon,활착,hwalchak,supervivencia,supervivencia,Uberleben,Überleben
concepts,safety,sécurité,securite,安全性,Anzensei,안전,anjeon,seguridad,seguridad,Sicherheit,Sicherheit
concepts,security,sécurité,securite,安全,Anzen,보안,boan,seguridad,seguridad,Sicherheit,Sicherheit
concepts,adventure,aventure,aventure,冒険,Bouken,모험,Mohom,aventura,aventura,Abenteuer,Abenteuer
concepts,exploration,exploration,exploration,探索,Tansaku,탐구,tamgu,exploracion,exploración,Erkundung,Erkundung
concepts,discovery,Découverte,Decouverte,発見,Hakken,발견,balggeon,descubrimiento,descubrimiento,Entdeckung,Entdeckung
concepts,innovation,innovation,innovation,革新,Kakushin,혁신,hyeogsin,innovacion,innovación,Innovation,Innovation
concepts,creation,création,creation,創造,Souzou,창조,changjo,creacion,creación,Schaffung,Schaffung
concepts,restoration,restauration,restauration,復元,Fukugen,복구,bokgu,restauracion,restauracion,Wiederherstellung,Wiederherstellung
concepts,preservation,préservation,preservation,保存,Hozon,보존,bojon,preservacion,preservación,Erhaltung,Erhaltung
concepts,conservation,conservation,conservation,保全,Hozen,보존,bojon,conservacion,conservación,Erhaltung,Erhaltung
concepts,change,changement,changement,変化,Henka,변화,byeonhwa,cambiar,cambiar,andern,ändern
concepts,stability,la stabilité,la_stabilite,安定性,Anteisei,안정,anjeong,estabilidad,estabilidad,Stabilitat,Stabilität
concepts,order,commande,commande,注文,Chuumon,주문하다,jumunhada,orden,orden,Befehl,Befehl
concepts,revolution,révolution,revolution,革命,Kakumei,혁명,hyeongmyeong,revolucion,revolución,Revolution,Revolution
concepts,tradition,tradition,tradition,伝統,Dentou,전통,jeontong,tradicion,tradición,Tradition,Tradition
concepts,modernity,la modernité,la_modernite,現代性,Gendaiteisei,현대성,hyeondaeseong,modernidad,modernidad,Modernitat,Modernität
concepts,progress,progrès,progres,進捗,Shinchoku,진전,jinjeon,progreso,progreso,Fortschritt,Fortschritt
concepts,renaissance,Renaissance,Renaissance,ルネサンス,Runesansu,르네상스,reunesangseu,Renacimiento,Renacimiento,Renaissance,Renaissance
concepts,enlightenment,éclaircissement,eclaircissement,啓発,Keihatsu,계발,gyebal,iluminacion,iluminación,Aufklarung,Aufklärung
concepts,light,lumière,lumiere,ライト,Raito,빛,bit,luz,luz,Licht,Licht
concepts,beautiful,beau,beau,美しい,Utsukushii,아름다운,areumdaun,hermoso,hermoso,Schon,Schön
concepts,brilliant,brillant,brillant,素晴らしい,Subarashii,멋진,meotjin,brillante,brillante,brillant,brillant
concepts,creative,créatif,creatif,クリエイティブ,Kurieitibu,창의적인,changuijeogin,creativo,creativo,kreativ,kreativ
concepts,diligent,diligent,diligent,勤勉,Kinben,성실한,seongsilhan,diligente,diligente,fleißig,fleißig
concepts,elegant,élégant,elegant,エレガント,Ereganto,우아한,uahan,elegante,elegante,elegant,elegant
adjectives,fabulous,fabuleux,fabuleux,素晴らしい,Subarashii,굉장한,goengjanghan,fabuloso,fabuloso,fabelhaft,fabelhaft
adjectives,graceful,gracieux,gracieux,優雅です,Yuuga,우아한,uahan,agraciado,agraciado,anmutig,anmutig
adjectives,honest,honnête,honnete,正直,Shoujiki,솔직한,soljighan,honesto,honesto,ehrlich,ehrlich
adjectives,intelligent,intelligent,intelligent,知的,Chiteki,지능적인,jineungjeogin,inteligente,inteligente,intelligent,intelligent
adjectives,joyful,joyeux,joyeux,楽しげ,Tanoshige,즐거운,jeulgeoun,alegre,alegre,froh,froh
adjectives,kind,gentil,gentil,親切,Shinsetsu,친절한,chinjaehan,amable,amable,Art,Art
adjectives,lively,vivant,vivant,活気のある,Kikinoaru,기운찬,giunchan,dinamico,dinámico,lebhaft,lebhaft
adjectives,magnificent,magnifique,magnifique,壮大,Soudai,웅장한,ungjanghan,magnifico,magnífico,herrlich,herrlich
adjectives,noble,noble,noble,ノーブル,Nooburu,고귀한,gogwihan,noble,noble,edel,edel
adjectives,optimistic,optimiste,optimiste,楽観的,Rakkanteki,낙관적인,nakgwanjeogin,optimista,optimista,optimistisch,optimistisch
adjectives,peaceful,pacifique,pacifique,平和な,Heiwana,평화로운,pyeonghwaroun,pacifico,pacífico,friedlich,friedlich
adjectives,reliable,fiable,fiable,信頼性のある,Shinraiseinoyoru,믿을 수 있는,mideul_su_inneun,confiable,confiable,zuverlassig,zuverlässig
adjectives,sincere,sincère,sincere,誠実な,Seijitsuna,진실된,jinsildeun,sincero,sincero,aufrichtig,aufrichtig
adjectives,thoughtful,réfléchi,reflechi,思慮深い,Shirubukoi,인정 있는,injeong_inneun,considerado,considerado,nachdenklich,nachdenklich
adjectives,unique,unique,unique,個性的,Koseiteki,고유한,goyuhan,unico,único,einzigartig,einzigartig
adjectives,vibrant,vibrant,vibrant,活気,Kikii,떠는,tteoneun,vibrante,vibrante,beschwingt,beschwingt
adjectives,zealous,zélé,zele,熱心,Nesshin,열심,yeolsim,celoso,celoso,eifrig,eifrig
adjectives,active,actif,actif,アクティブ,Akutibu,활동적인,hwaldongjeogin,activo,activo,aktiv,aktiv
adjectives,bored,ennuyé,ennuye,退屈,Taikutsu,지루한,jiruhan,aburrido,aburrido,gelangweilt,gelangweilt
adjectives,calm,calme,calme,落ち着いた,Ochitsuita,침착한,chimchakhan,calma,calma,ruhig,ruhig
adjectives,delighted,ravi,ravi,喜んだ,Yorokonda,아주 기뻐하는,aju_gippeohaneun,contento,contento,erfreut,erfreut
adjectives,excited,excité,excite,興奮した,Koufunshita,흥분한,heungbunhan,entusiasmado,entusiasmado,aufgeregt,aufgeregt
adjectives,frightened,effrayé,effraye,恐ろしかった,Osoroshikatta,겁먹은,geommeogeun,atemorizado,atemorizado,erschrocken,erschrocken
adjectives,glad,content,content,嬉しい,Ureshii,기쁜,gippeun,contento,contento,froh,froh
adjectives,hungry,affamé,affame,お腹がすいた,Onakagasuita,배고픈,baegopeun,hambriento,hambriento,hungrig,hungrig
adjectives,jumpy,nerveux,nerveux,びくびく,Bikubiku,점프,jeompeu,asustadizo,asustadizo,nervos,nervös
adjectives,keen,passionné,passionne,鋭い,Surudoi,날카로운,nalkaroun,afecto,afecto,erpicht,erpicht
adjectives,lazy,paresseux,paresseux,怠け者,Namakemono,게으른,geeureun,perezoso,perezoso,faul,faul
adjectives,moody,lunatique,lunatique,ムーディー,Muudii,무디,mudi,malhumorado,malhumorado,launisch,launisch
adjectives,nervous,nerveux,nerveux,神経質,Shinkeishitsu,불안한,buranhan,nervioso,nervioso,nervos,nervös
adjectives,overjoyed,fou de joie,fou_de_joie,大喜び,Ooyorokobi,너무 기뻐했습니다,neomu_gippeohaetseumnida,lleno_de_alegria,lleno de alegría,uberglucklich,überglücklich
